Regular,Irregular,Number
accept,awake,one
add,be,two
admire,beat,three
admit,become,four
advise,begin,five
afford,bend,six
agree,bet,seven
alert,bid,eight
allow,bite,nine
amuse,blow,ten
analyse (BrE),break,eleven
analyze (AmE),bring,twelve
announce,broadcast,thirteen
annoy,build,fourteen
answer,burn,fifteen
apologise,buy,sixteen
appear,catch,seventeen
applaud,choose,eighteen
appreciate,come,nineteen
approve,cost,twenty
argue,cut,thirty
arrange,dig,forty
arrest,do,fifty
arrive,draw,sixty
ask,dream,seventy
attach,drive,eghty
attack,drink,ninety
attempt,eat,hundred
attend,fall,
attract,feel,
avoid,fight,
back,find,
bake,fly,
balance,forget,
ban,forgive,
bang,freeze,
bare,get,
bat,give,
bathe,go,
battle,grow,
beam,hang,
beg,have,
behave,hear,
belong,hide,
bleach,hit,
bless,hold,
blind,hurt,
blink,keep,
blot,know,
blush,lay,
boast,lead,
boil,learn,
bolt,leave,
bomb,lend,
book,let,
bore,lie,
borrow,lose,
bounce,make,
bow,mean,
box,meet,
brake,pay,
branch,put,
breathe,read,
bruise,ride,
brush,ring,
bubble,rise,
bump,run,
burn,say,
bury,see,
buzz,sell,
calculate,send,
call,show,
camp,shut,
care,sing,
carry,sit,
carve,sleep,
cause,speak,
challenge,spend,
change,stand,
charge,swim,
chase,take,
cheat,teach,
check,tear,
cheer,tell,
chew,think,
choke,throw,
chop,understand,
claim,wake,
clap,wear,
clean,win,
clear,write,
clip,awoke,
close,was,
coach,beat,
coil,became,
collect,began,
colour,bent,
comb,bet,
command,bid,
communicate,bit,
compare,blew,
compete,broke,
complain,brought,
complete,broadcast,
concentrate,built,
concern,burned,
confess,bought,
confuse,caught,
connect,chose,
consider,came,
consist,cost,
contain,cut,
continue,dug,
copy,did,
correct,drew,
cough,dreamed,
count,drove,
cover,drank,
crack,ate,
crash,fell,
crawl,felt,
cross,fought,
crush,found,
cry,flew,
cure,forgot,
curl,forgave,
curve,froze,
cycle,got,
dam,gave,
damage,went,
dance,grew,
dare,hung,
decay,had,
deceive,heard,
decide,hid,
decorate,hit,
delay,held,
delight,hurt,
deliver,kept,
depend,knew,
describe,laid,
desert,led,
deserve,learned,
destroy,left,
detect,lent,
develop,let,
disagree,lay,
disappear,lost,
disapprove,made,
disarm,meant,
discover,met,
dislike,paid,
divide,put,
double,read,
doubt,rode,
drag,rang,
drain,rose,
dream,ran,
dress,said,
drip,saw,
drop,sold,
drown,sent,
drum,showed,
dry,shut,
dust,sang,
earn,sat,
educate,slept,
embarrass,spoke,
employ,spent,
empty,stood,
encourage,swam,
end,took,
enjoy,taught,
enter,tore,
entertain,told,
escape,thought,
examine,threw,
excite,understood,
excuse,woke,
